,
"Saturday, 13 September 2014, 7:01 PM","Saturday, 13 September 2014, 6:59 PM"
"Monday, 15 September 2014, 1:25 PM","Sunday, 14 September 2014, 12:19 PM"
"Sunday, 14 September 2014, 2:06 PM","Sunday, 14 September 2014, 2:06 PM"
"Friday, 12 September 2014, 11:14 PM","Friday, 12 September 2014, 11:16 PM"
-,"Saturday, 13 September 2014, 11:13 PM"
"Monday, 15 September 2014, 11:11 AM","Sunday, 14 September 2014, 2:16 PM"
-,"Sunday, 14 September 2014, 3:09 PM"
"Sunday, 14 September 2014, 12:10 PM","Sunday, 14 September 2014, 12:09 PM"
-,"Saturday, 13 September 2014, 11:11 PM"
-,"Sunday, 14 September 2014, 3:02 PM"
"Monday, 15 September 2014, 1:25 PM","Sunday, 14 September 2014, 2:11 PM"
-,"Saturday, 13 September 2014, 10:22 AM"
"Monday, 15 September 2014, 1:23 PM","Sunday, 14 September 2014, 2:12 PM"
"Monday, 15 September 2014, 1:22 PM","Sunday, 14 September 2014, 1:48 AM"
"Monday, 15 September 2014, 12:23 PM","Saturday, 13 September 2014, 8:34 PM"
-,-
"Monday, 15 September 2014, 11:06 AM","Monday, 15 September 2014, 11:05 AM"
"Monday, 15 September 2014, 1:23 PM","Sunday, 14 September 2014, 2:47 PM"
"Saturday, 13 September 2014, 9:16 PM","Saturday, 13 September 2014, 9:19 PM"
-,"Saturday, 13 September 2014, 10:24 AM"
-,"Sunday, 14 September 2014, 2:57 PM"
"Sunday, 14 September 2014, 2:18 PM","Sunday, 14 September 2014, 2:17 PM"
"Monday, 15 September 2014, 1:25 PM","Saturday, 13 September 2014, 5:26 PM"
"Monday, 15 September 2014, 2:14 PM","Sunday, 14 September 2014, 1:42 PM"
"Monday, 15 September 2014, 1:22 PM","Saturday, 13 September 2014, 3:10 PM"
-,"Sunday, 14 September 2014, 2:57 PM"
"Monday, 15 September 2014, 11:31 AM","Saturday, 13 September 2014, 8:34 PM"
"Monday, 15 September 2014, 12:20 PM","Sunday, 14 September 2014, 2:33 PM"
"Monday, 15 September 2014, 1:26 PM","Sunday, 14 September 2014, 3:16 PM"
-,"Sunday, 14 September 2014, 2:21 PM"
-,"Sunday, 14 September 2014, 2:49 PM"
-,"Sunday, 14 September 2014, 1:55 PM"
"Monday, 15 September 2014, 11:08 AM","Monday, 15 September 2014, 11:11 AM"
"Tuesday, 16 September 2014, 9:42 PM","Sunday, 14 September 2014, 3:17 PM"
-,"Sunday, 14 September 2014, 2:54 PM"
-,"Sunday, 14 September 2014, 2:46 PM"
-,"Monday, 15 September 2014, 11:33 AM"
"Sunday, 14 September 2014, 4:03 PM","Sunday, 14 September 2014, 2:52 PM"
"Sunday, 14 September 2014, 3:09 PM","Sunday, 14 September 2014, 2:29 PM"
-,"Monday, 15 September 2014, 11:06 AM"
-,-
-,"Monday, 15 September 2014, 7:00 PM"
-,"Monday, 15 September 2014, 10:18 PM"
"Friday, 12 September 2014, 11:50 PM","Friday, 12 September 2014, 11:47 PM"
"Monday, 15 September 2014, 1:28 PM","Sunday, 14 September 2014, 2:59 PM"
"Sunday, 14 September 2014, 12:58 AM","Sunday, 14 September 2014, 2:42 PM"
-,"Monday, 15 September 2014, 1:14 PM"
"Sunday, 14 September 2014, 6:23 PM","Sunday, 14 September 2014, 2:22 PM"
-,"Sunday, 14 September 2014, 2:16 PM"
"Monday, 15 September 2014, 1:22 PM","Sunday, 14 September 2014, 12:34 AM"
"Monday, 15 September 2014, 1:26 PM","Sunday, 14 September 2014, 12:34 PM"
"Sunday, 14 September 2014, 9:55 AM","Sunday, 14 September 2014, 9:55 AM"
-,"Sunday, 14 September 2014, 12:09 PM"
-,"Saturday, 13 September 2014, 7:30 PM"
"Monday, 15 September 2014, 1:34 PM","Sunday, 14 September 2014, 2:59 PM"
-,"Saturday, 13 September 2014, 12:02 PM"
